,age1,age2,age3,age4
reg1_yr1,0.270810363,0.374253357,0.627600709,0.441872714
reg1_yr2,0.260916261,0.330885595,0.625512379,0.607164127
reg1_yr3,0.232218067,0.416970824,0.595580082,0.473241975
reg1_yr4,0.259958063,0.392515819,0.54462836,0.471498097
reg2_yr1,0.282451561,0.338942054,0.53419072,0.44976707
reg2_yr2,0.229921543,0.407644099,0.592327207,0.483254358
reg2_yr3,0.20628822,0.443194963,0.549175831,0.446433025
reg2_yr4,0.256769698,0.307621025,0.516735037,0.483883932
reg3_yr1,0.276106532,0.375823267,0.613072291,0.519975427
reg3_yr2,0.291335795,0.46286954,0.648502344,0.519532856
reg3_yr3,0.241640041,0.37275141,0.599783008,0.520991315
reg3_yr4,0.258031872,0.490241007,0.590950773,0.384716182
reg4_yr1,0.286993047,0.496135759,0.607649066,0.542212541
reg4_yr2,0.243179045,0.442714832,0.539024419,0.374582564
reg4_yr3,0.224696083,0.499540036,0.567744859,0.488756928
reg4_yr4,0.297973244,0.402252191,0.645864603,0.399180826
