,age1,age2,age3,age4,age5,age6
reg1_yr1,0.27,0.21,0.26,0.4,0.12,0.12
reg1_yr2,0.32,0.14,0.23,0.44,0.13,0.13
reg1_yr3,0.23,0.16,0.2,0.52,0.17,0.17
reg1_yr4,0.36,0.21,0.27,0.59,0.18,0.18
reg1_yr5,0.26,0.17,0.3,0.65,0.24,0.24
reg2_yr1,0.27,0.21,0.26,0.4,0.12,0.12
reg2_yr2,0.32,0.14,0.23,0.44,0.13,0.13
reg2_yr3,0.23,0.16,0.2,0.52,0.17,0.17
reg2_yr4,0.36,0.21,0.27,0.59,0.18,0.18
reg2_yr5,0.26,0.17,0.3,0.65,0.24,0.24
reg3_yr1,0.27,0.21,0.26,0.4,0.12,0.12
reg3_yr2,0.32,0.14,0.23,0.44,0.13,0.13
reg3_yr3,0.23,0.16,0.2,0.52,0.17,0.17
reg3_yr4,0.36,0.21,0.27,0.59,0.18,0.18
reg3_yr5,0.26,0.17,0.3,0.65,0.24,0.24
reg4_yr1,0.27,0.21,0.26,0.4,0.12,0.12
reg4_yr2,0.32,0.14,0.23,0.44,0.13,0.13
reg4_yr3,0.23,0.16,0.2,0.52,0.17,0.17
reg4_yr4,0.36,0.21,0.27,0.59,0.18,0.18
reg4_yr5,0.26,0.17,0.3,0.65,0.24,0.24
