,age1,age2,age3,age4,age5,age6
reg1_yr1,0.8,0.7,0.6,0.5,0.5,0.6
reg1_yr2,0.8,0.7,0.6,0.5,0.5,0.6
reg1_yr3,0.8,0.7,0.6,0.5,0.5,0.6
reg1_yr4,0.8,0.7,0.6,0.5,0.5,0.6
reg1_yr5,0.8,0.7,0.6,0.5,0.5,0.6
reg2_yr1,0.8,0.7,0.6,0.5,0.5,0.6
reg2_yr2,0.8,0.7,0.6,0.5,0.5,0.6
reg2_yr3,0.8,0.7,0.6,0.5,0.5,0.6
reg2_yr4,0.8,0.7,0.6,0.5,0.5,0.6
reg2_yr5,0.8,0.7,0.6,0.5,0.5,0.6
reg3_yr1,0.8,0.7,0.6,0.5,0.5,0.6
reg3_yr2,0.8,0.7,0.6,0.5,0.5,0.6
reg3_yr3,0.8,0.7,0.6,0.5,0.5,0.6
reg3_yr4,0.8,0.7,0.6,0.5,0.5,0.6
reg3_yr5,0.8,0.7,0.6,0.5,0.5,0.6
reg4_yr1,0.8,0.7,0.6,0.5,0.5,0.6
reg4_yr2,0.8,0.7,0.6,0.5,0.5,0.6
reg4_yr3,0.8,0.7,0.6,0.5,0.5,0.6
reg4_yr4,0.8,0.7,0.6,0.5,0.5,0.6
reg4_yr5,0.8,0.7,0.6,0.5,0.5,0.6
